,x,y,cluster,r,g,b
64720,-74.31628,-4.283919,12,0,102,221
72978,-63.48084,4.643735400000001,12,0,102,221
30455,27.874565000000004,76.448105,23,0,166,0
47097,9.594312,16.3906,29,0,249,0
12608,73.8523,-14.067389499999999,15,0,155,215
86817,78.89543,-1.6866252,15,0,155,215
22048,21.84293,-84.28101,0,0,0,0
25829,-17.954943,43.520844,41,255,32,0
46868,45.879257,-6.837815299999999,16,0,161,195
27630,-69.71480600000001,-12.3177185,35,242,228,0
38603,77.255135,-3.6302788,15,0,155,215
78402,84.84455,16.012857,37,255,197,0
1512,82.12929,47.002274,38,255,177,0
64073,-40.93045,-18.927505,5,130,0,153
70430,-20.646060000000002,16.36299,14,0,143,221
31409,-12.122236000000001,-88.19767,6,77,0,160
10268,3.9726121,27.429298,29,0,249,0
26059,-37.947720000000004,-43.9342,4,128,0,145
58380,22.960035,-56.086666,7,23,0,167
81588,22.183563,-16.973904,30,43,255,0
44089,24.241379000000002,-49.65657,7,23,0,167
79258,-12.487927,86.72185,1,46,0,53
67518,49.149475,38.90844,3,122,0,138
60366,3.7780492,99.11994,1,46,0,53
35933,49.580909999999996,46.66663,3,122,0,138
72316,30.774055,-13.699488,30,43,255,0
24908,63.774414,-8.656512,16,0,161,195
37718,-13.147449,27.647625,34,231,239,0
4009,-52.018654,-82.47107,10,0,9,221
72738,-70.21799,-29.942312,45,213,0,0
5130,52.309044,42.773403,3,122,0,138
22536,16.976421,40.967915000000005,17,0,168,175
79122,33.61166,-47.29334,7,23,0,167
58526,28.415373,-12.130889,30,43,255,0
84524,-39.616196,42.92503,39,255,157,0
11128,88.63767,-6.2006197,15,0,155,215
50532,29.995369,76.9444,23,0,166,0
79001,-46.102394,-37.294464000000005,4,128,0,145
10667,54.826763,12.604918,11,0,56,221
65427,-15.083979999999999,-30.454882,24,0,180,0
34431,-31.497004999999998,101.255486,2,93,0,106
42413,-26.688759,44.98754,41,255,32,0
1261,-95.24772,-32.838753000000004,8,0,0,181
40370,14.357389000000001,-72.58197,0,0,0,0
12472,-49.00564,27.65793,9,0,0,205
58628,59.147038,-19.58925,42,249,0,0
27031,10.121276,39.81847,17,0,168,175
7356,-30.521582000000002,67.52619,22,0,154,7
33813,4.017284,-25.449207,19,0,170,143
47759,48.588406,-28.046751,20,0,167,114
64632,-17.282747,13.401615,14,0,143,221
25884,56.239918,24.436512,3,122,0,138
30948,5.55178,-26.320843,19,0,170,143
38657,-29.811146,17.248234,9,0,0,205
79990,-40.270653,5.8859463,27,0,223,0
12082,-74.10794,13.99864,12,0,102,221
54377,14.862020499999998,-16.478825,30,43,255,0
48734,4.27455,75.41915,1,46,0,53
65582,2.7070682,-55.66203,44,222,0,0
30234,-46.504124,-19.306553,5,130,0,153
7625,-3.9208540000000003,-17.369303,33,211,246,0
3309,39.196873,-86.44698000000001,0,0,0,0
9430,-16.530188,42.928146000000005,41,255,32,0
85901,-29.409000000000002,22.399078,9,0,0,205
57626,52.5936,-52.418929999999996,49,204,204,204
60990,46.85631,-23.831001,20,0,167,114
35904,-2.4640372000000004,33.562509999999996,34,231,239,0
5977,-12.153845,-67.62105600000001,25,0,193,0
58483,14.966657000000001,-13.938931,30,43,255,0
22750,33.623905,-47.261379999999996,7,23,0,167
44057,-51.608356,-12.780550999999999,27,0,223,0
67174,-0.78344184,72.05099,1,46,0,53
80796,44.483109999999996,-60.536827,49,204,204,204
24929,46.463566,42.90846,3,122,0,138
15061,1.0533235,74.60053,1,46,0,53
68709,16.630314000000002,-17.984106,30,43,255,0
71661,-36.073605,-66.11754,40,255,105,0
16305,54.106205,-65.3809,49,204,204,204
54815,33.07396,35.93801,46,207,0,0
49069,-32.00932,-26.605206,18,0,170,157
56121,-68.44659399999999,-18.682257,35,242,228,0
35254,11.676028,-79.48015,0,0,0,0
52946,20.932215,-12.62412,30,43,255,0
80145,46.248375,-67.48037,49,204,204,204
30684,-23.794626,53.36466,22,0,154,7
9683,-44.747025,-37.395508,4,128,0,145
82795,-76.27242,-15.152639,8,0,0,181
67973,-26.377094,-27.230185,18,0,170,157
1522,-38.014216999999995,-50.546707,4,128,0,145
67855,78.0969,45.273468,38,255,177,0
70858,47.693302,-28.28939,20,0,167,114
47275,-87.86008000000001,-21.15335,8,0,0,181
1457,75.55574,-9.987072999999999,15,0,155,215
82395,59.32872,-7.193158599999999,16,0,161,195
18106,-18.763796,41.557293,41,255,32,0
20847,52.785109999999996,71.33424000000001,31,117,255,0
82914,19.747494,-78.57905600000001,0,0,0,0
29835,-43.41995,-22.783037,5,130,0,153
62353,57.211783999999994,41.85079,3,122,0,138
76353,-65.54613499999999,-27.523388,35,242,228,0
78698,-18.84349,-55.316981999999996,25,0,193,0
38016,3.6828644,-10.768872,33,211,246,0
17095,79.54267,45.830659999999995,38,255,177,0
54103,26.133875,75.108734,23,0,166,0
5735,50.971077,-39.26852,20,0,167,114
62486,-70.50109,51.870777000000004,13,0,127,221
80164,-100.268936,-6.728503,36,250,212,0
69745,37.425036999999996,-8.691881,48,204,124,124
80564,-25.538292000000002,-20.725271,18,0,170,157
46656,10.551666,15.192412,29,0,249,0
37655,1.6287260000000001,77.22965,1,46,0,53
53405,0.948499,28.557709999999997,29,0,249,0
52589,34.147232,-40.803215,7,23,0,167
38194,19.656807,43.20248,17,0,168,175
53004,-51.10327,59.397259999999996,13,0,127,221
79753,9.493601,39.31962,17,0,168,175
67226,65.66628,-18.51995,42,249,0,0
54442,42.31028,24.680683,11,0,56,221
41515,32.345234000000005,-46.009636,7,23,0,167
77146,-51.93096,1.5695188999999998,27,0,223,0
6392,-56.234318,-37.88293,4,128,0,145
22833,52.07033,8.720554,11,0,56,221
32489,77.14246999999999,38.896038,38,255,177,0
65800,-45.02247,75.20469,2,93,0,106
38042,-7.553910000000001,-27.740175,24,0,180,0
25252,14.396581,-72.9873,0,0,0,0
40651,11.329977,57.828,17,0,168,175
76352,-47.600044,-21.444557,5,130,0,153
83775,58.59349399999999,-10.432605,16,0,161,195
28260,-32.348263,-35.26367,4,128,0,145
46788,-51.607966999999995,-12.7806425,27,0,223,0
36986,2.3868814,-37.605835,19,0,170,143
57285,29.933903000000004,-55.30891999999999,7,23,0,167
6329,-28.960749,-90.13144,10,0,9,221
47846,57.742546,-22.811685999999998,42,249,0,0
65635,65.07559,-7.2290434999999995,16,0,161,195
82963,6.293317299999999,33.286724,29,0,249,0
82951,46.856018,-72.40047,49,204,204,204
79775,-37.388027,-12.840705,5,130,0,153
1550,-74.01262,-19.892498,8,0,0,181
11967,5.170331,72.01132,1,46,0,53
74569,26.905673999999998,-47.946186,7,23,0,167
58044,21.052298,-29.779858,32,191,253,0
77449,-37.441338,-62.405483,40,255,105,0
72481,-63.503040000000006,-56.260597,43,235,0,0
38039,29.442663,31.398761999999998,46,207,0,0
13094,84.73859399999999,-4.753451999999999,15,0,155,215
15272,-35.118275,-68.65849,40,255,105,0
49216,-1.8024625,35.0354,34,231,239,0
76578,-74.02974,-19.891453,8,0,0,181
58459,-32.94076,65.14339,22,0,154,7
23817,27.832572999999996,8.043876,21,0,160,61
28241,5.911276,100.14498,1,46,0,53
85385,1.2374697000000001,74.199066,1,46,0,53
2298,-7.9120893,-43.48445,24,0,180,0
85760,37.845608,16.3747,11,0,56,221
20308,-8.7569,-67.95215999999999,25,0,193,0
71332,77.9016,13.1523,37,255,197,0
44684,33.09642,35.82672,46,207,0,0
85630,44.902977,-36.459896,20,0,167,114
68713,53.562366000000004,69.95855,31,117,255,0
46997,-81.47485,-30.241976,8,0,0,181
62299,0.3632743,73.51109,1,46,0,53
23506,67.22021,19.183481,37,255,197,0
4442,23.140549,50.600722999999995,17,0,168,175
3132,77.202896,12.007375999999999,37,255,197,0
5757,48.801334000000004,64.849754,31,117,255,0
81609,-68.35648,27.6448,28,0,236,0
33882,5.896662999999999,98.45079,1,46,0,53
66278,26.119041,75.09351,23,0,166,0
32411,50.03097,34.852814,3,122,0,138
69809,-28.329698999999998,-46.849506,4,128,0,145
55228,-46.85937,-2.9762397000000003,27,0,223,0
70425,-18.870358,-5.3657093,14,0,143,221
65544,3.3498836000000005,53.271496,17,0,168,175
59018,57.64415,-25.929754,42,249,0,0
35441,73.79782,-44.575165000000005,26,0,207,0
56736,-69.20829,29.237913,28,0,236,0
48616,-28.873671999999996,103.38659,2,93,0,106
13076,55.224956999999996,-67.00726,49,204,204,204
85727,-31.198784000000003,63.33464,22,0,154,7
82048,25.502771,-25.48611,32,191,253,0
34086,6.249382,-101.788536,6,77,0,160
44453,-17.124125,13.60855,14,0,143,221
59868,58.78584300000001,-1.4036055,16,0,161,195
19555,15.397797,-78.585594,0,0,0,0
63025,18.036457000000002,56.921204,17,0,168,175
8615,-88.97924,-12.474072,8,0,0,181
22728,-55.769290000000005,13.289428,27,0,223,0
